"geoid","overlap_all","overlap_c"
"010010201001",1,0
"010010201002",1,0
"010010202001",1,0
"010010202002",1,0
"010010203001",1,0
"010010203002",1,0
"010010204001",1,0
"010010204002",1,0
"010010204003",1,0
"010010204004",1,0
"010010205001",1,0
"010010205002",1,0
"010010205003",1,0
"010010206001",1,0
"010010206002",1,0
"010010207001",1,0
"010010207002",1,0
"010010208011",1,0
"010010208012",1,0
"010010208021",1,0
"010010208022",1,0
"010010208023",1,0
"010010208024",1,0
"010010209001",1,0
"010010209002",1,0
"010010209003",1,0
"010010209004",1,0
"010010210001",0.191923842678914,0
"010010210002",1,0
"010010211001",0.961105331356915,0
"010010211002",0.297507252635182,0
"010010211003",0.83084973543561,0
"010030101001",0.212749155618759,0.212749155618759
"010030101002",1,1
"010030101003",0.309271400398343,0.309222109126735
"010030102001",0.975216805030693,0.975216805030693
"010030102002",0.402885734756465,0.32392238294502
"010030103001",1,1
"010030103002",1,1
"010030103003",1,1
"010030104001",1,0.958325621872294
"010030104002",1,1
"010030104003",1,0.792638614365769
"010030105001",1,1
"010030105002",1,1
"010030105003",1,1
"010030105004",1,1
"010030106001",1,1
"010030106002",1,1
"010030106003",1,1
"010030107011",1,1
"010030107012",1,1
"010030107013",1,1
"010030107014",1,1
"010030107031",1,1
"010030107032",1,1
"010030107041",1,1
"010030107042",1,1
"010030107051",1,1
"010030107052",1,1
"010030107053",1,1
"010030108001",1,1
"010030108002",1,1
"010030108003",1,1
"010030109031",1,1
"010030109032",1,1
"010030109033",1,1
"010030109041",1,1
"010030109042",1,1
"010030109043",1,1
"010030109051",1,1
"010030109052",1,1
"010030109053",1,1
"010030109061",1,1
"010030109062",1,1
"010030109063",1,1
"010030110001",1,1
"010030110002",1,1
"010030111011",1,1
"010030111012",1,1
"010030111013",1,1
"010030111021",1,1
"010030111022",1,1
"010030112011",1,1
"010030112012",1,1
"010030112021",1,1
"010030112022",1,1
"010030112023",1,1
"010030112024",1,1
"010030113001",1,1
"010030113002",1,1
"010030113003",1,1
"010030113004",1,1
"010030114011",1,0.693528625041336
"010030114012",1,0.404963573510481
"010030114013",1,0.360252086115156
"010030114014",1,0.104530250909524
"010030114015",1,0.517468446599504
"010030114031",1,0.0125535551173717
"010030114032",1,0.152598748163972
"010030114033",1,0.98548528197669
"010030114051",1,1
"010030114052",1,1
"010030114061",1,0.0298365783038893
"010030114062",1,0.719983777345726
"010030114063",1,0.970013901647165
"010030114071",1,0
"010030114072",1,0
"010030114073",1,0
"010030114081",1,0
"010030115011",1,1
"010030115012",1,1
"010030115013",1,1
"010030115021",1,1
"010030115022",1,1
"010030115023",1,1
"010030115024",1,1
"010030116011",1,1
"010030116012",1,1
"010030116013",1,1
"010030116014",1,1
"010030116021",1,1
"010030116022",1,1
"010030116023",1,1
"010030116024",1,1
"010059501001",0.395327422299345,0
"010059501002",0.562246891373118,0
"010059501003",0.487967551498992,0
"010059502001",0,0
"010059502002",0,0
"010059502003",0,0
"010059503001",0,0
"010059503002",0.0683488072083842,0
"010059504001",0.434469236754931,0.329905676327199
"010059504002",0.821241759489926,0.0490427352989754
"010059504003",0.920091640462413,0.145499860083833
"010059505001",0.754579289648188,0.754579289648188
"010059505002",0.247197266726459,0.247197266726459
"010059505003",0.860968328926932,0.860968328926932
"010059506001",0,0
"010059506002",0,0
"010059507001",0,0
"010059507002",0,0
"010059508001",0,0
"010059508002",0,0
"010059509001",0,0
"010059509002",0,0
"010059509003",0,0
"010070100011",0.264588423423404,0.264588423423404
"010070100012",0.43768234618877,0.372474870918474
"010070100021",1,1
"010070100022",0.626192669479013,0.230583953460179
"010070100023",1,1
"010070100031",0.69003819465235,0
"010070100032",0.111533135042837,0
"010070100033",0.80564916175601,0.00219902629442593
"010070100034",0.538592994619671,0
"010070100041",0,0
"010070100042",0.221238690618891,0
"010070100043",0,0
"010070100044",0.102557125839139,0
"010070100045",0.883871252047466,0
"010070100046",0.964983009884803,0
"010090501011",1,1
"010090501012",1,0.395399804969197
"010090501013",1,0.0311870698452454
"010090501014",1,0.018372344213912
"010090501015",1,0.674527829571879
"010090501021",1,0.359007772522018
"010090501022",1,0.00814073149288084
"010090501023",1,0.125530402537976
"010090501024",0.873326528501511,0.786210318910943
"010090502001",0.375708543364566,0
"010090502002",0.676561662031205,0.639670801794389
