"fips_county","fips_state","county_name","region","delta","appalachia"
"24510","24","Baltimore","Neither",0,0
"31169","31","Thayer","Neither",0,0
"37077","37","Granville","Neither",0,0
"46091","46","Marshall","Neither",0,0
"39075","39","Holmes","Appalachia",0,1
"39033","39","Crawford","Neither",0,0
"54055","54","Mercer","Appalachia",0,1
"17005","17","Bond","Neither",0,0
"18081","18","Johnson","Neither",0,0
"19041","19","Clay","Neither",0,0
"26113","26","Missaukee","Neither",0,0
"28081","28","Lee","Appalachia",0,1
"29137","29","Monroe","Neither",0,0
"31035","31","Clay","Neither",0,0
"31093","31","Howard","Neither",0,0
"26075","26","Jackson","Neither",0,0
"37181","37","Vance","Neither",0,0
"48115","48","Dawson","Neither",0,0
"51685","51","Manassas Park","Neither",0,0
"47067","47","Hancock","Appalachia",0,1
"51820","51","Waynesboro","Neither",0,0
"51720","51","Norton","Neither",0,0
"02188","02","Northwest Arctic","Neither",0,0
"06069","06","San Benito","Neither",0,0
"55019","55","Clark","Neither",0,0
"20109","20","Logan","Neither",0,0
"26123","26","Newaygo","Neither",0,0
"36097","36","Schuyler","Appalachia",0,1
"13143","13","Haralson","Appalachia",0,1
"18075","18","Jay","Neither",0,0
"20007","20","Barber","Neither",0,0
"26009","26","Antrim","Neither",0,0
"29119","29","McDonald","Neither",0,0
"21087","21","Green","Appalachia",0,1
"40109","40","Oklahoma","Neither",0,0
"39143","39","Sandusky","Neither",0,0
"56041","56","Uinta","Neither",0,0
"13057","13","Cherokee","Appalachia",0,1
"18093","18","Lawrence","Neither",0,0
"19137","19","Montgomery","Neither",0,0
"20047","20","Edwards","Neither",0,0
"26057","26","Gratiot","Neither",0,0
"26039","26","Crawford","Neither",0,0
"26073","26","Isabella","Neither",0,0
"31013","31","Box Butte","Neither",0,0
"31097","31","Johnson","Neither",0,0
"39055","39","Geauga","Neither",0,0
"01003","01","Baldwin","Neither",0,0
"01059","01","Franklin","Appalachia",0,1
"12033","12","Escambia","Neither",0,0
"17131","17","Mercer","Neither",0,0
"26127","26","Oceana","Neither",0,0
"28075","28","Lauderdale","Neither",0,0
"31129","31","Nuckolls","Neither",0,0
"37157","37","Rockingham","Neither",0,0
"40115","40","Ottawa","Neither",0,0
"48017","48","Bailey","Neither",0,0
"02050","02","Bethel","Neither",0,0
"05085","05","Lonoke","Delta",1,0
"18057","18","Hamilton","Neither",0,0
"19179","19","Wapello","Neither",0,0
"19105","19","Jones","Neither",0,0
"27131","27","Rice","Neither",0,0
"28111","28","Perry","Neither",0,0
"30049","30","Lewis and Clark","Neither",0,0
"31163","31","Sherman","Neither",0,0
"38103","38","Wells","Neither",0,0
"40077","40","Latimer","Neither",0,0
"48379","48","Rains","Neither",0,0
"48463","48","Uvalde","Neither",0,0
"51775","51","Salem","Neither",0,0
"48055","48","Caldwell","Neither",0,0
"16059","16","Lemhi","Neither",0,0
"08087","08","Morgan","Neither",0,0
"31085","31","Hayes","Neither",0,0
"36035","36","Fulton","Neither",0,0
"08115","08","Sedgwick","Neither",0,0
"18033","18","DeKalb","Neither",0,0
"53013","53","Columbia","Neither",0,0
"02130","02","Ketchikan Gateway","Neither",0,0
"13261","13","Sumter","Neither",0,0
"18131","18","Pulaski","Neither",0,0
"26045","26","Eaton","Neither",0,0
"28119","28","Quitman","Delta",1,0
"29039","29","Cedar","Neither",0,0
"31069","31","Garden","Neither",0,0
"27083","27","Lyon","Neither",0,0
"26133","26","Osceola","Neither",0,0
"46073","46","Jerauld","Neither",0,0
"54093","54","Tucker","Appalachia",0,1
"48059","48","Callahan","Neither",0,0
"56043","56","Washakie","Neither",0,0
